workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
mpsc,10000000,6,crossbeam,ok,10,10,37926700.7,34879369.9,43291519.7,6.893242130842238,36917795.3,42220344.1,263.707242,1.2751000000000001,7844209.267040925,,,,,2304.0,
mpsc,10000000,6,go,ok,10,10,27254383.8999293,24950836.62201162,27725804.44806578,3.179907095137845,26134066.858746655,27487661.5446433,366.9267025,0.68455,14608840.116355127,,,,,2688.0,
mpsc,10000000,6,tokio-tuned-tokio-channels,ok,10,10,6426074.4,6277787.3,6462227.3,0.8344543795262851,6357286.0,6440979.4,1556.160598,6.18565,1616645.5091568558,,,,,9152.0,
mpsc,10000000,6,tokio-tuned,ok,10,10,99435672.65,94004390.6,109423565.1,5.27902027516043,94880745.4,106021444.5,100.5685015,0.13219999999999998,75644523.38228294,,,,,9164.0,
mpsc,10000000,12,tokio,ok,10,10,8591935.75,8414461.3,8691180.7,1.2139298129332332,8419322.4,8663754.6,1163.882246,3.9946,2503394.6296897144,,,,,2944.0,
mpsc,10000000,12,crossbeam,ok,10,10,39148477.7,34170679.5,43992314.5,8.092353693551592,35041161.5,42168728.4,255.4388635,1.2451499999999998,8031376.413632547,,,,,2176.0,
mpsc,10000000,12,go,ok,10,10,26407218.90660377,25488947.08004179,27139970.085890733,2.0351860432909192,25614410.823264785,26854556.324488632,378.70833,0.72875,13723411.279045282,,,,,2816.0,
mpsc,10000000,12,tokio-tuned-tokio-channels,ok,10,10,6809642.7,6659369.1,6978453.2,1.6563332936035111,6673548.5,6908171.2,1468.518649,5.883649999999999,1699633.2140884395,,,,,9178.0,
mpsc,10000000,12,tokio-tuned,ok,10,10,99387484.75,89789626.5,110747512.3,5.726961758041638,92899840.8,103780670.7,100.626162,0.13625,73394979.72951862,,,,,9210.0,
mpsc-cap1,1000000,1,tokio,ok,10,10,9617785.55,8116187.6,9770274.9,5.177414180120808,9463387.6,9727264.0,103.974045,0.1059,9442904.312794644,,,,,2944.0,
mpsc-cap1,1000000,1,crossbeam,ok,10,10,57295.4,56430.2,57527.9,0.5347993853616828,57035.6,57408.2,17453.4072985,17.453899999999997,57293.78588662993,,,,,2304.0,
